[QueueMonitor] 2025-07-01 00:26:12 | avg= 0.00 | max= 0 | min= 0 | latest= 0 | zero=935 | zero_ratio=100.00%
[QueueMonitor] 2025-07-01 00:26:13 | avg= 0.00 | max= 0 | min= 0 | latest= 0 | zero=937 | zero_ratio=100.00%
[QueueMonitor] 2025-07-01 00:26:14 | avg= 0.00 | max= 0 | min= 0 | latest= 0 | zero=938 | zero_ratio=100.00%
[QueueMonitor] 2025-07-01 00:26:15 | avg= 0.45 | max=10 | min= 0 | latest= 4 | zero=876 | zero_ratio= 93.59%
[QueueMonitor] 2025-07-01 00:26:16 | avg= 1.92 | max= 7 | min= 0 | latest= 1 | zero=177 | zero_ratio= 19.24%
[QueueMonitor] 2025-07-01 00:26:17 | avg= 0.20 | max= 2 | min= 0 | latest= 0 | zero=811 | zero_ratio= 86.65%
[QueueMonitor] 2025-07-01 00:26:18 | avg= 0.00 | max= 0 | min= 0 | latest= 0 | zero=927 | zero_ratio=100.00%
[QueueMonitor] 2025-07-01 00:26:19 | avg= 0.00 | max= 0 | min= 0 | latest= 0 | zero=940 | zero_ratio=100.00%
[QueueMonitor] 2025-07-01 00:26:20 | avg= 0.00 | max= 0 | min= 0 | latest= 0 | zero=930 | zero_ratio=100.00%
[QueueMonitor] 2025-07-01 00:26:21 | avg= 0.00 | max= 0 | min= 0 | latest= 0 | zero=931 | zero_ratio=100.00%
[QueueMonitor] 2025-07-01 00:26:22 | avg= 0.00 | max= 0 | min= 0 | latest= 0 | zero=932 | zero_ratio=100.00%
[QueueMonitor] 2025-07-01 00:26:23 | avg= 0.00 | max= 0 | min= 0 | latest= 0 | zero=929 | zero_ratio=100.00%
[QueueMonitor] 2025-07-01 00:26:24 | avg= 0.18 | max=10 | min= 0 | latest= 9 | zero=917 | zero_ratio= 97.97%
[QueueMonitor] 2025-07-01 00:26:25 | avg= 1.12 | max= 9 | min= 0 | latest= 2 | zero=396 | zero_ratio= 42.40%
[QueueMonitor] 2025-07-01 00:26:26 | avg= 0.63 | max= 3 | min= 0 | latest= 0 | zero=585 | zero_ratio= 63.38%
[QueueMonitor] 2025-07-01 00:26:27 | avg= 0.00 | max= 0 | min= 0 | latest= 0 | zero=922 | zero_ratio=100.00%
[QueueMonitor] 2025-07-01 00:26:28 | avg= 0.00 | max= 0 | min= 0 | latest= 0 | zero=940 | zero_ratio=100.00%
[QueueMonitor] 2025-07-01 00:26:29 | avg= 0.00 | max= 0 | min= 0 | latest= 0 | zero=921 | zero_ratio=100.00%
[QueueMonitor] 2025-07-01 00:26:30 | avg= 0.00 | max= 0 | min= 0 | latest= 0 | zero=932 | zero_ratio=100.00%
[QueueMonitor] 2025-07-01 00:26:31 | avg= 0.97 | max=10 | min= 0 | latest= 0 | zero=579 | zero_ratio= 62.46%
[QueueMonitor] 2025-07-01 00:26:32 | avg= 0.58 | max= 2 | min= 0 | latest= 2 | zero=563 | zero_ratio= 60.21%
[QueueMonitor] 2025-07-01 00:26:33 | avg= 0.27 | max= 2 | min= 0 | latest= 0 | zero=765 | zero_ratio= 83.06%
[QueueMonitor] 2025-07-01 00:26:34 | avg= 0.00 | max= 0 | min= 0 | latest= 0 | zero=908 | zero_ratio=100.00%
